"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","722","Checkout Page Title Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","416","Sort Products Alphabetically Z to A","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","877","Cancel Button Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","384","Product Image Visibility","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","580","Locked User Login Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","566","Lowest Price Item First Position Check","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","425","Cart Page Title Validation","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","900","Postal Code Field Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","608","Shopping Cart Icon Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","467","Empty Credentials Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","318","Login Page URL Validation","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","395","Password Field Is Masked Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","545","Continue Button Click Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","555","Product Sort Dropdown Visibility","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","1062","Checkout Overview Page Title","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","421","Cart Badge Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","504","Checkout Step One URL Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","620","Add Single Product To Cart","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","388","Error Message Validation","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","390","Product Page Title Header Text","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","688","Cart Quantity Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","412","Login Page Title Validation","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","539","Checkout Overview Page Title","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","582","Sort Products by Price Low to High","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","360","Login Using Enter Key Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","696","Checkout Button Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","399","Verify Total Price Elements Equal Total Item Elements","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","390","Product Price Visibility","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","588","Product Page Title Validation","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","532","Checkout Form Fill Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","540","Finish Button Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","590","Product Page Title Header Text","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","855","Dropdown Value Changes to High to Low","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","887","Cancel Button On Overview Page","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","592","Highest Price Item First Position Check","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","436","Open Cart Page","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","598","Sort Products by Name Z to A","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","531","Product Page Title Header Text","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","782","Cancel Button Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","459","Cart URL Validation","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","536","Error Message Validation","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","547","Sort Products Alphabetically A to Z","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","413","Username Field Visibility Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","451","Add Multiple Products To Cart","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","599","Default Alphabetical First Item Name Check","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","578","Product Image Visibility","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","506","Cancel Checkout","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","701","Open Cart Page","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","932","Checkout Form Fill Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","645","Sort Products Numerically Price Low to High","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","370","Username Field Visibility Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","706","Maintain Selected Sort After Component View Change","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","558","Empty Last Name Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","848","Maintain Selected Sort After Component View Change","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","396","Login Button Visibility Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","390","Password Field Visibility Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","319","Password Field Visibility Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","3900","Remove Button Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","391","Verify Default Sort Option is Active","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","662","Continue Shopping Button Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","573","Sort Products by Name A to Z","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","798","Add Multiple Products","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","1733","Successful Checkout Information","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","438","Continue Shopping Button Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","615","Cart Badge Visibility","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","601","Sort Products Numerically Price Low to High","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","502","Last Name Field Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","528","Sort Products Numerically Price Low to High","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","444","Add Multiple Products","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","645","Cart Item Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","508","Postal Code Field Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","891","Continue Shopping Button","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","896","Cancel Checkout","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","936","Error Message Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","582","Sort Products by Price Low to High","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","405","Product Page URL Validation","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","666","Sort Products Alphabetically A to Z","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","398","Inventory Items Count Visibility","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","1093","Checkout Button Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","413","Reverse Alphabetical First Item Name Check","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","555","Shopping Cart Icon Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","419","Add Single Product To Cart","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","583","Product Page Title Validation","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","2172","Cart Quantity Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","670","Add Multiple Products","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","764","Error Message Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","432","Dropdown Value Changes to High to Low","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","600","Verify Product Page Header Loaded","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","394","Sort Products by Price Low to High","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","576","Inventory Items Count Visibility","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","842","Finish Button Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","606","Sort Products by Price High to Low","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","569","Continue Shopping Button","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","466","Lowest Price Item First Position Check","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","404","Product Sort Dropdown Visibility","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","464","Cart Item Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","1036","Successful Checkout Information","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","764","Add Multiple Products To Cart","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","499","Locked User Login Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","850","Postal Code Field Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","320","Login Page Title Validation","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","533","Empty Password Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","408","Sort Products by Price High to Low","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","604","Sort Products Alphabetically Z to A","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","732","Valid Login Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","681","Remove Product From Cart","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","429","Add Product To Cart","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","372","Empty Password Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","963","Inventory Items Visibility","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","422","Default Alphabetical First Item Name Check","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","399","Invalid Login Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","389","Product Page Title Validation","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","735","Add Product To Cart","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","452","Remove Product From Cart","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","698","Cart Badge Visibility","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","555","Successful Checkout Information","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","573","Login Using Enter Key Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","512","Highest Price Item First Position Check","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","530","Invalid Login Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","1353","Sort Products by Name Z to A","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","556","Reverse Alphabetical First Item Name Check","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","514","Checkout URL Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","663","Remove Product From Cart","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","948","Finish Button Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","1005","Empty Postal Code Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","878","Last Name Field Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","711","Cart Badge Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","505","Inventory Items Count Visibility","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","1014","Checkout Overview Page Title","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","841","Remove Product From Cart","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","505","Cancel Button Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","820","Remove Product From Cart","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","877","Checkout URL Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","2298","Continue Button Click Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","523","Remove Button Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","533","Verify Total Price Elements Equal Total Item Elements","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","979","Sort Products by Name Z to A","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","687","Cart Page Title Validation","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","891","Checkout Step One URL Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","719","Cart URL Validation","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","523","Empty Username Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","568","Add Product To Cart","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","984","Continue Button Click Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","486","Maintain Selected Sort After Component View Change","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","607","Cart Badge Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","424","Sort Products Numerically Price High to Low","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","847","First Name Field Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","879","Verify Default Sort Option is Active","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","689","Cart Description Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","4840","Valid Login Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","382","Locked User Login Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","529","Error Message Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","825","Empty Last Name Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","753","First Name Field Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","570","Successful Order Completion","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","444","Cart Description Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","409","Sort Products by Name A to Z","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","591","Default Alphabetical First Item Name Check","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","2273","Last Name Field Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","419","Empty Username Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","1074","Successful Order Completion","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","392","Shopping Cart Icon Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","386","Login Page URL Validation","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","393","Verify Product Page Header Loaded","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","487","Empty Password Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","583","Invalid Login Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","621","Add Multiple Products To Cart","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","628","Sort Products Numerically Price High to Low","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","624","Sort Products Alphabetically Z to A","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","5596","Performance User Login Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","609","Sort Products Numerically Price High to Low","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","790","Cart Item Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","597","Product Page URL Validation","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","440","Cart Badge Visibility","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","430","Checkout Button Visibility","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","697","Add Single Product To Cart","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","379","Password Field Is Masked Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","809","Empty Postal Code Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","391","Login Button Visibility Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","557","Product Sort Dropdown Visibility","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","571","Product Page URL Validation","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","779","Continue Shopping Button","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","572","Sort Dropdown Option Visibility","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","387","Password Field Visibility Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","407","Login Page Title Validation","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","685","Open Cart Page","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","590","Lowest Price Item First Position Check","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","763","Cart Quantity Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","713","Continue Shopping Button Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","565","Verify Product Page Header Loaded","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","553","Empty First Name Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","558","Cart Page Title Validation","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","328","Username Field Visibility Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","908","Highest Price Item First Position Check","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","1575","Valid Login Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","477","First Name Field Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","2811","Sort Products by Name A to Z","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","526","Empty Postal Code Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","397","Sort Dropdown Option Visibility","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","870","Checkout Page Title Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","474","Checkout Page Title Validation","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","543","Cancel Button On Overview Page","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","573","Verify Total Price Elements Equal Total Item Elements","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","833","Product Image Visibility","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","855","Continue Button Visibility","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","546","Empty Credentials Test","webkit","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","1027","Product Price Visibility","firefox","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","780","Checkout Step One URL Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","701","Cart URL Validation","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","5557","Performance User Login Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","752","Checkout Form Fill Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","391","Inventory Items Visibility","chromium","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","553","Error Message Validation","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","811","Cancel Checkout","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","964","Cancel Button On Overview Page","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","464","Remove Product From Cart","chromium","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","577","Verify Default Sort Option is Active","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","378","Empty Credentials Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","531","Login Using Enter Key Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","436","Sort Products Alphabetically A to Z","chromium","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","678","Checkout URL Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","795","Cart Description Visibility","webkit","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","583","Product Price Visibility","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","5432","Performance User Login Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","416","Login Page URL Validation","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","446","Empty Username Test","firefox","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","685","Remove Button Visibility","firefox","2026-05-28","passed","2026-05-28","Cart Module Tests","cart.spec.js","",""
"","1956","Continue Button Visibility","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","971","Empty First Name Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","320","Password Field Is Masked Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","507","Continue Button Visibility","chromium","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","958","Empty First Name Validation","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","933","Successful Order Completion","firefox","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
"","614","Inventory Items Visibility","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","620","Reverse Alphabetical First Item Name Check","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","322","Login Button Visibility Test","chromium","2026-05-28","passed","2026-05-28","","auth.spec.js","",""
"","562","Sort Products by Price High to Low","webkit","2026-05-28","passed","2026-05-28","Product Catalog & Sorting Tests","Product.spec.js","",""
"","613","Dropdown Value Changes to High to Low","webkit","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","1159","Sort Dropdown Option Visibility","firefox","2026-05-28","passed","2026-05-28","","filter.spec.js","",""
"","996","Empty Last Name Validation","webkit","2026-05-28","passed","2026-05-28","Checkout Module Tests","checkout.spec.js","",""
